raw_text,portion_parsed,normalized_curie,normalized_label
ENVO:03600038 ! experimental forest ecosystem,ENVO:03600038 ! experimental forest ecosystem,ENVO:03600038,experimental forest ecosystem
ENVO:01000991 ! bathtub fixture,ENVO:01000991 ! bathtub fixture,ENVO:01000991,bathtub fixture
UBERON:0001444 ! subdivision of head,UBERON:0001444 ! subdivision of head,,UBERON:0001444  subdivision of head
ENVO:01001802 ! subtropical moist broadleaf forest,ENVO:01001802 ! subtropical moist broadleaf forest,ENVO:01001802,subtropical moist broadleaf forest
ENVO:01001537 ! sea ice hummock,ENVO:01001537 ! sea ice hummock,ENVO:01001537,sea ice hummock
ENVO:3200016 ! concentration of silver in lake water,ENVO:3200016 ! concentration of silver in lake water,ENVO:3200016,concentration of silver in lake water
FOODON:00001255 ! nonfermented plant derived beverage product,FOODON:00001255 ! nonfermented plant derived beverage product,,FOODON:00001255  nonfermented plant derived beverage product
ENVO:01000239 ! oak woodland,ENVO:01000239 ! oak woodland,ENVO:01000239,oak woodland
CHEBI:17548 ! alginic acid,CHEBI:17548 ! alginic acid,,CHEBI:17548  alginic acid
ENVO:01000613 ! watercraft,ENVO:01000613 ! watercraft,ENVO:01000613,watercraft
PATO:0000044 ! frequency,PATO:0000044 ! frequency,,PATO:0000044  frequency
CHEBI:50325 ! proteinogenic amino-acid side-chain group,CHEBI:50325 ! proteinogenic amino-acid side-chain group,,CHEBI:50325  proteinogenic amino-acid side-chain group
ENVO:01000228 ! tropical moist broadleaf forest biome,ENVO:01000228 ! tropical moist broadleaf forest biome,ENVO:01000228,tropical moist broadleaf forest biome
PATO:0001712 ! increased perimeter,PATO:0001712 ! increased perimeter,,PATO:0001712  increased perimeter
NCBITaxon:4447 ! Liliopsida,NCBITaxon:4447 ! Liliopsida,,NCBITaxon:4447  Liliopsida
ENVO:01001272 ! constructed pavement,ENVO:01001272 ! constructed pavement,ENVO:01001272,constructed pavement
CHEBI:9171 ! skatole,CHEBI:9171 ! skatole,,CHEBI:9171  skatole
CHEBI:26820 ! sulfates,CHEBI:26820 ! sulfates,,CHEBI:26820  sulfates
ENVO:01000800 ! planet,ENVO:01000800 ! planet,ENVO:01000800,planet
ENVO:00002019 ! brackish water,ENVO:00002019 ! brackish water,ENVO:00002019,brackish water
ENVO:00000060 ! underground stream,ENVO:00000060 ! underground stream,ENVO:00000060,underground stream
ENVO:06105102 ! megaplastic particle,ENVO:06105102 ! megaplastic particle,ENVO:06105102,megaplastic particle
ENVO:01000585 ! desk,ENVO:01000585 ! desk,ENVO:01000585,desk
ENVO:3200073 ! concentration of sulfate in soil,ENVO:3200073 ! concentration of sulfate in soil,ENVO:3200073,concentration of sulfate in soil
ENVO:01000777 ! nurdle,ENVO:01000777 ! nurdle,ENVO:01000777,nurdle
CHEBI:35426 ! ortho-fused bicyclic arene,CHEBI:35426 ! ortho-fused bicyclic arene,,CHEBI:35426  ortho-fused bicyclic arene
ENVO:01001270 ! rural stormwater,ENVO:01001270 ! rural stormwater,ENVO:01001270,rural stormwater
ENVO:00000195 ! sinkhole,ENVO:00000195 ! sinkhole,ENVO:00000195,sinkhole
ENVO:03600032 ! embankment dam,ENVO:03600032 ! embankment dam,ENVO:03600032,embankment dam
FOODON:00001063 ! millet beer food product,FOODON:00001063 ! millet beer food product,,FOODON:00001063  millet beer food product
FOODON:00002035 ! milk dessert food product,FOODON:00002035 ! milk dessert food product,,FOODON:00002035  milk dessert food product
ENVO:03600079 ! shredder,ENVO:03600079 ! shredder,ENVO:03600079,shredder
CHEBI:36357 ! polyatomic entity,CHEBI:36357 ! polyatomic entity,,CHEBI:36357  polyatomic entity
FOODON:00001049 ! pork chop food product,FOODON:00001049 ! pork chop food product,,FOODON:00001049  pork chop food product
FOODON:00001241 ! processed pork meat food product,FOODON:00001241 ! processed pork meat food product,,FOODON:00001241  processed pork meat food product
ENVO:01000891 ! area of pastureland or hayfields,ENVO:01000891 ! area of pastureland or hayfields,ENVO:01000891,area of pastureland or hayfields
ENVO:01001674 ! lysocline,ENVO:01001674 ! lysocline,ENVO:01001674,lysocline
ENVO:00002224 ! eutrophic water,ENVO:00002224 ! eutrophic water,ENVO:00002224,eutrophic water
ENVO:00000539 ! geographic sill,ENVO:00000539 ! geographic sill,ENVO:00000539,geographic sill
ENVO:3100021 ! concentration of neoxanthin in liquid water,ENVO:3100021 ! concentration of neoxanthin in liquid water,ENVO:3100021,concentration of neoxanthin in liquid water
ENVO:01000582 ! landline telephone,ENVO:01000582 ! landline telephone,ENVO:01000582,landline telephone
UBERON:0000122 ! neuron projection bundle,UBERON:0000122 ! neuron projection bundle,,UBERON:0000122  neuron projection bundle
UBERON:0011823 ! dense connective tissue,UBERON:0011823 ! dense connective tissue,,UBERON:0011823  dense connective tissue
FOODON:00001135 ! distilled fermented grain beverage,FOODON:00001135 ! distilled fermented grain beverage,,FOODON:00001135  distilled fermented grain beverage
ENVO:03510021 ! varnish,ENVO:03510021 ! varnish,ENVO:03510021,varnish
PATO:0002124 ! laminar,PATO:0002124 ! laminar,,PATO:0002124  laminar
ENVO:01000450 ! salt glacier,ENVO:01000450 ! salt glacier,ENVO:01000450,salt glacier
ENVO:00000479 ! mouth,ENVO:00000479 ! mouth,ENVO:00000479,mouth
PATO:0001826 ! decreased wetness,PATO:0001826 ! decreased wetness,,PATO:0001826  decreased wetness
ENVO:01000328 ! dome swamp,ENVO:01000328 ! dome swamp,ENVO:01000328,dome swamp
ENVO:01000871 ! puddle of water,ENVO:01000871 ! puddle of water,ENVO:01000871,puddle of water
ENVO:01001503 ! glacial surface layer,ENVO:01001503 ! glacial surface layer,ENVO:01001503,glacial surface layer
ENVO:01000869 ! area of scrub,ENVO:01000869 ! area of scrub,ENVO:01000869,area of scrub
ENVO:00005745 ! allotment garden,ENVO:00005745 ! allotment garden,ENVO:00005745,allotment garden
ENVO:01001395 ! necromass,ENVO:01001395 ! necromass,ENVO:01001395,necromass
ENVO:3100004 ! concentration of ammonium in liquid water,ENVO:3100004 ! concentration of ammonium in liquid water,ENVO:3100004,concentration of ammonium in liquid water
ENVO:01000111 ! cosmogenous sediment,ENVO:01000111 ! cosmogenous sediment,ENVO:01000111,cosmogenous sediment
ENVO:03501148 ! geriatric care unit facility,ENVO:03501148 ! geriatric care unit facility,ENVO:03501148,geriatric care unit facility
ENVO:01000927 ! day care building,ENVO:01000927 ! day care building,ENVO:01000927,day care building
PATO:0001598 ! protruding,PATO:0001598 ! protruding,,PATO:0001598  protruding
UBERON:0001776 ! optic choroid,UBERON:0001776 ! optic choroid,,UBERON:0001776  optic choroid
UBERON:3000972 ! head external integument structure,UBERON:3000972 ! head external integument structure,,UBERON:3000972  head external integument structure
FOODON:00002265 ! soybean seed (field) food product,FOODON:00002265 ! soybean seed (field) food product,,FOODON:00002265  soybean seed field food product
