raw_text,portion_parsed,normalized_curie,normalized_label
CHEBI:35604 ! carbon oxoanion,CHEBI:35604 ! carbon oxoanion,,CHEBI:35604  carbon oxoanion
ENVO:01000221 ! temperate woodland biome,ENVO:01000221 ! temperate woodland biome,ENVO:01000221,temperate woodland biome
PATO:0002180 ! straight,PATO:0002180 ! straight,,PATO:0002180  straight
ENVO:00002164 ! fossil material,ENVO:00002164 ! fossil material,ENVO:00002164,fossil material
ENVO:01000670 ! vein,ENVO:01000670 ! vein,ENVO:01000670,vein
ENVO:3200007 ! concentration of gadolinium in lake water,ENVO:3200007 ! concentration of gadolinium in lake water,ENVO:3200007,concentration of gadolinium in lake water
UBERON:0002546 ! cranial placode,UBERON:0002546 ! cranial placode,,UBERON:0002546  cranial placode
ENVO:00000333 ! subjacent karst,ENVO:00000333 ! subjacent karst,ENVO:00000333,subjacent karst
ENVO:01000736 ! phacolith,ENVO:01000736 ! phacolith,ENVO:01000736,phacolith
ENVO:01000614 ! bicycle,ENVO:01000614 ! bicycle,ENVO:01000614,bicycle
ENVO:03501209 ! bedrail,ENVO:03501209 ! bedrail,ENVO:03501209,bedrail
PATO:0002173 ! misaligned towards,PATO:0002173 ! misaligned towards,,PATO:0002173  misaligned towards
ENVO:01000217 ! mediterranean shrubland biome,ENVO:01000217 ! mediterranean shrubland biome,ENVO:01000217,mediterranean shrubland biome
ENVO:3100036 ! concentration of chlorophyll in liquid water,ENVO:3100036 ! concentration of chlorophyll in liquid water,ENVO:3100036,concentration of chlorophyll in liquid water
ENVO:01000440 ! dacitic volcano,ENVO:01000440 ! dacitic volcano,ENVO:01000440,dacitic volcano
NCBITaxon:2116530 ! Salicornia subgen. Amerocornia,NCBITaxon:2116530 ! Salicornia subgen. Amerocornia,,NCBITaxon:2116530  Salicornia subgen. Amerocornia
UBERON:0010360 ! pharyngeal arch mesenchyme from head mesenchyme,UBERON:0010360 ! pharyngeal arch mesenchyme from head mesenchyme,,UBERON:0010360  pharyngeal arch mesenchyme from head mesenchyme
ENVO:03501192 ! walk-in clinic,ENVO:03501192 ! walk-in clinic,ENVO:03501192,walk-in clinic
"FOODON:03401270 ! U.S. code of federal regulations, title 21 food product type","FOODON:03401270 ! U.S. code of federal regulations, title 21 food product type",,"FOODON:03401270  U.S. code of federal regulations, title 21 food product type"
ENVO:01001874 ! poultry hatchery,ENVO:01001874 ! poultry hatchery,ENVO:01001874,poultry hatchery
PATO:0001031 ! elasticity,PATO:0001031 ! elasticity,,PATO:0001031  elasticity
ENVO:00009686 ! ice rise,ENVO:00009686 ! ice rise,ENVO:00009686,ice rise
ENVO:01000812 ! desert pavement,ENVO:01000812 ! desert pavement,ENVO:01000812,desert pavement
CHEBI:33263 ! diatomic oxygen,CHEBI:33263 ! diatomic oxygen,,CHEBI:33263  diatomic oxygen
ENVO:01000232 ! felsic lava,ENVO:01000232 ! felsic lava,ENVO:01000232,felsic lava
FOODON:00001090 ! sour milk beverage,FOODON:00001090 ! sour milk beverage,,FOODON:00001090  sour milk beverage
ENVO:00000386 ! river mouth,ENVO:00000386 ! river mouth,ENVO:00000386,river mouth
ENVO:00005771 ! muddy soil,ENVO:00005771 ! muddy soil,ENVO:00005771,muddy soil
ENVO:01000424 ! patio,ENVO:01000424 ! patio,ENVO:01000424,patio
ENVO:00002246 ! ferralsol,ENVO:00002246 ! ferralsol,ENVO:00002246,ferralsol
ENVO:00003965 ! anaerobic digester sludge,ENVO:00003965 ! anaerobic digester sludge,ENVO:00003965,anaerobic digester sludge
UBERON:0005291 ! embryonic tissue,UBERON:0005291 ! embryonic tissue,,UBERON:0005291  embryonic tissue
CHEBI:46680 ! serpentine asbestos,CHEBI:46680 ! serpentine asbestos,,CHEBI:46680  serpentine asbestos
ENVO:01000262 ! seep,ENVO:01000262 ! seep,ENVO:01000262,seep
ENVO:03501360 ! equipment leg,ENVO:03501360 ! equipment leg,ENVO:03501360,equipment leg
ENVO:00000259 ! lacustrine plain,ENVO:00000259 ! lacustrine plain,ENVO:00000259,lacustrine plain
ENVO:00000500 ! beaver dam,ENVO:00000500 ! beaver dam,ENVO:00000500,beaver dam
CHEBI:35293 ! fused compound,CHEBI:35293 ! fused compound,,CHEBI:35293  fused compound
ENVO:03600039 ! fermentation pit,ENVO:03600039 ! fermentation pit,ENVO:03600039,fermentation pit
ENVO:01001114 ! feed storage space,ENVO:01001114 ! feed storage space,ENVO:01001114,feed storage space
UBERON:0036016 ! honey,UBERON:0036016 ! honey,,UBERON:0036016  honey
UBERON:0009751 ! cardiac mesenchyme,UBERON:0009751 ! cardiac mesenchyme,,UBERON:0009751  cardiac mesenchyme
ENVO:01000454 ! carbon dioxide pooling disposition,ENVO:01000454 ! carbon dioxide pooling disposition,ENVO:01000454,carbon dioxide pooling disposition
ENVO:00000191 ! solid astronomical body part,ENVO:00000191 ! solid astronomical body part,ENVO:00000191,solid astronomical body part
CHEBI:26523 ! reactive oxygen species,CHEBI:26523 ! reactive oxygen species,,CHEBI:26523  reactive oxygen species
ENVO:03501201 ! polling place,ENVO:03501201 ! polling place,ENVO:03501201,polling place
PATO:0000033 ! concentration of,PATO:0000033 ! concentration of,,PATO:0000033  concentration of
ENVO:01001555 ! frozen lead,ENVO:01001555 ! frozen lead,ENVO:01001555,frozen lead
ENVO:01000494 ! thatched exterior wall,ENVO:01000494 ! thatched exterior wall,ENVO:01000494,thatched exterior wall
PATO:0000049 ! intensity,PATO:0000049 ! intensity,,PATO:0000049  intensity
ENVO:00000283 ! ridge,ENVO:00000283 ! ridge,ENVO:00000283,ridge
CHEBI:131621 ! C19-steroid,CHEBI:131621 ! C19-steroid,,CHEBI:131621  C19-steroid
FOODON:03302001 ! animal-derived food,FOODON:03302001 ! animal-derived food,,FOODON:03302001  animal-derived food
ENVO:00000544 ! leat,ENVO:00000544 ! leat,ENVO:00000544,leat
NCBITaxon:33341 ! Polyneoptera,NCBITaxon:33341 ! Polyneoptera,,NCBITaxon:33341  Polyneoptera
ENVO:01000273 ! lime mudstone,ENVO:01000273 ! lime mudstone,ENVO:01000273,lime mudstone
ENVO:00000169 ! canyon,ENVO:00000169 ! canyon,ENVO:00000169,canyon
FOODON:00001232 ! vinaigrette dressing food product,FOODON:00001232 ! vinaigrette dressing food product,,FOODON:00001232  vinaigrette dressing food product
ENVO:01000353 ! marine mesoscale eddy field,ENVO:01000353 ! marine mesoscale eddy field,ENVO:01000353,marine mesoscale eddy field
ENVO:00000428 ! biome,ENVO:00000428 ! biome,ENVO:00000428,biome
ENVO:00000065 ! railway,ENVO:00000065 ! railway,ENVO:00000065,railway
CHEBI:16966 ! heteroglycan,CHEBI:16966 ! heteroglycan,,CHEBI:16966  heteroglycan
FOODON:00001714 ! food product component,FOODON:00001714 ! food product component,,FOODON:00001714  food product component
NCBITaxon:77021 ! Cylindrospermopsis,NCBITaxon:77021 ! Cylindrospermopsis,,NCBITaxon:77021  Cylindrospermopsis
ENVO:03501176 ! psychiatric intensive care unit facility,ENVO:03501176 ! psychiatric intensive care unit facility,ENVO:03501176,psychiatric intensive care unit facility
ENVO:01001854 ! hydrothermal field,ENVO:01001854 ! hydrothermal field,ENVO:01001854,hydrothermal field
ENVO:01000476 ! plaster,ENVO:01000476 ! plaster,ENVO:01000476,plaster
ENVO:01000635 ! planetary landmass,ENVO:01000635 ! planetary landmass,ENVO:01000635,planetary landmass
ENVO:00000873 ! freshwater biome,ENVO:00000873 ! freshwater biome,ENVO:00000873,freshwater biome
ENVO:00002134 ! anaerobic stream sediment,ENVO:00002134 ! anaerobic stream sediment,ENVO:00002134,anaerobic stream sediment
CHEBI:33372 ! neodymium atom,CHEBI:33372 ! neodymium atom,,CHEBI:33372  neodymium atom
ENVO:01000654 ! undersea trough,ENVO:01000654 ! undersea trough,ENVO:01000654,undersea trough
ENVO:3200037 ! concentration of tin in water ice,ENVO:3200037 ! concentration of tin in water ice,ENVO:3200037,concentration of tin in water ice
UBERON:0001474 ! bone element,UBERON:0001474 ! bone element,,UBERON:0001474  bone element
BFO:0000027 ! object aggregate,BFO:0000027 ! object aggregate,,BFO:0000027  object aggregate
ENVO:03000051 ! ice-encased melt pond,ENVO:03000051 ! ice-encased melt pond,ENVO:03000051,ice-encased melt pond
NCBITaxon:436491 ! Theropoda,NCBITaxon:436491 ! Theropoda,,NCBITaxon:436491  Theropoda
CHEBI:22984 ! calcium atom,CHEBI:22984 ! calcium atom,,CHEBI:22984  calcium atom
ENVO:03501338 ! human nursery,ENVO:03501338 ! human nursery,ENVO:03501338,human nursery
ENVO:01001098 ! tectonic plate boundary,ENVO:01001098 ! tectonic plate boundary,ENVO:01001098,tectonic plate boundary
UBERON:0007688 ! anlage,UBERON:0007688 ! anlage,,UBERON:0007688  anlage
ENVO:03000137 ! freezing fog,ENVO:03000137 ! freezing fog,ENVO:03000137,freezing fog
UBERON:0010316 ! germ layer / neural crest,UBERON:0010316 ! germ layer / neural crest,,UBERON:0010316  germ layer / neural crest
ENVO:01000059 ! sea grass bed,ENVO:01000059 ! sea grass bed,ENVO:01000059,sea grass bed
CHEBI:32627 ! leucinate,CHEBI:32627 ! leucinate,,CHEBI:32627  leucinate
ENVO:00000393 ! sound,ENVO:00000393 ! sound,ENVO:00000393,sound
UBERON:0004151 ! cardiac chamber,UBERON:0004151 ! cardiac chamber,,UBERON:0004151  cardiac chamber
ENVO:03600082 ! crustal fluid,ENVO:03600082 ! crustal fluid,ENVO:03600082,crustal fluid
ENVO:00002221 ! shop,ENVO:00002221 ! shop,ENVO:00002221,shop
ENVO:01001511 ! freshwater ice,ENVO:01001511 ! freshwater ice,ENVO:01001511,freshwater ice
ENVO:01000128 ! dilution basin mediterranean sea biome,ENVO:01000128 ! dilution basin mediterranean sea biome,ENVO:01000128,dilution basin mediterranean sea biome
UBERON:0003426 ! dermis adipose tissue,UBERON:0003426 ! dermis adipose tissue,,UBERON:0003426  dermis adipose tissue
ENVO:3200043 ! concentration of dysprosium in snow,ENVO:3200043 ! concentration of dysprosium in snow,ENVO:3200043,concentration of dysprosium in snow
CHEBI:35196 ! nitrogen oxide,CHEBI:35196 ! nitrogen oxide,,CHEBI:35196  nitrogen oxide
UBERON:0003104 ! mesenchyme,UBERON:0003104 ! mesenchyme,,UBERON:0003104  mesenchyme
CHEBI:33429 ! monoatomic monoanion,CHEBI:33429 ! monoatomic monoanion,,CHEBI:33429  monoatomic monoanion
CHEBI:78616 ! carbohydrates and carbohydrate derivatives,CHEBI:78616 ! carbohydrates and carbohydrate derivatives,,CHEBI:78616  carbohydrates and carbohydrate derivatives
ENVO:01000117 ! granular sediment,ENVO:01000117 ! granular sediment,ENVO:01000117,granular sediment
CHEBI:49202 ! elemental platinum,CHEBI:49202 ! elemental platinum,,CHEBI:49202  elemental platinum
FOODON:00001193 ! fonio food product,FOODON:00001193 ! fonio food product,,FOODON:00001193  fonio food product
PATO:0000161 ! rate,PATO:0000161 ! rate,,PATO:0000161  rate
NCBITaxon:6544 ! Bivalvia,NCBITaxon:6544 ! Bivalvia,,NCBITaxon:6544  Bivalvia
ENVO:09200020 ! concentration of nitrate in groundwater,ENVO:09200020 ! concentration of nitrate in groundwater,ENVO:09200020,concentration of nitrate in groundwater
CHEBI:29237 ! deuterium atom,CHEBI:29237 ! deuterium atom,,CHEBI:29237  deuterium atom
CHEBI:78130 ! fatty acid anion 28:0,CHEBI:78130 ! fatty acid anion 28:0,,CHEBI:78130  fatty acid anion 28:0
ENVO:01001178 ! pasturable land,ENVO:01001178 ! pasturable land,ENVO:01001178,pasturable land
ENVO:01000158 ! marine snow,ENVO:01000158 ! marine snow,ENVO:01000158,marine snow
ENVO:00002013 ! igneous rock,ENVO:00002013 ! igneous rock,ENVO:00002013,igneous rock
BFO:0000017 ! realizable entity,BFO:0000017 ! realizable entity,,BFO:0000017  realizable entity
UBERON:0001630 ! muscle organ,UBERON:0001630 ! muscle organ,,UBERON:0001630  muscle organ
ENVO:01001562 ! hydrogel,ENVO:01001562 ! hydrogel,ENVO:01001562,hydrogel
UBERON:0001017 ! central nervous system,UBERON:0001017 ! central nervous system,,UBERON:0001017  central nervous system
UBERON:0000172 ! vomit,UBERON:0000172 ! vomit,,UBERON:0000172  vomit
ENVO:03501267 ! peeler,ENVO:03501267 ! peeler,ENVO:03501267,peeler
FOODON:00001696 ! cattle cured meat food product,FOODON:00001696 ! cattle cured meat food product,,FOODON:00001696  cattle cured meat food product
FOODON:03400777 ! eurofir food classification,FOODON:03400777 ! eurofir food classification,,FOODON:03400777  eurofir food classification
ENVO:01000170 ! indeterminate root nodule infection zone,ENVO:01000170 ! indeterminate root nodule infection zone,ENVO:01000170,indeterminate root nodule infection zone
ENVO:01001477 ! liquid astronomical body part,ENVO:01001477 ! liquid astronomical body part,ENVO:01001477,liquid astronomical body part
UBERON:0036253 ! orifice of skull,UBERON:0036253 ! orifice of skull,,UBERON:0036253  orifice of skull
CHEBI:36875 ! radical ion,CHEBI:36875 ! radical ion,,CHEBI:36875  radical ion
ENVO:03000000 ! neve,ENVO:03000000 ! neve,ENVO:03000000,neve
CHEBI:49986 ! elemental krypton,CHEBI:49986 ! elemental krypton,,CHEBI:49986  elemental krypton
CHEBI:26395 ! purine nucleotide,CHEBI:26395 ! purine nucleotide,,CHEBI:26395  purine nucleotide
ENVO:01000308 ! extraterrestrial environment,ENVO:01000308 ! extraterrestrial environment,ENVO:01000308,extraterrestrial environment
ENVO:03000113 ! snow patch,ENVO:03000113 ! snow patch,ENVO:03000113,snow patch
FOODON:00001125 ! ovine cheese food product,FOODON:00001125 ! ovine cheese food product,,FOODON:00001125  ovine cheese food product
ENVO:00002043 ! wastewater treatment plant,ENVO:00002043 ! wastewater treatment plant,ENVO:00002043,wastewater treatment plant
CHEBI:51447 ! organic univalent group,CHEBI:51447 ! organic univalent group,,CHEBI:51447  organic univalent group
ENVO:01000535 ! pour-flush pit latrine,ENVO:01000535 ! pour-flush pit latrine,ENVO:01000535,pour-flush pit latrine
CHEBI:138675 ! gas molecular entity,CHEBI:138675 ! gas molecular entity,,CHEBI:138675  gas molecular entity
ENVO:01000842 ! smog,ENVO:01000842 ! smog,ENVO:01000842,smog
ENVO:01000997 ! environmental system determined by a quality,ENVO:01000997 ! environmental system determined by a quality,ENVO:01000997,environmental system determined by a quality
CHEBI:38206 ! chlorophyllide,CHEBI:38206 ! chlorophyllide,,CHEBI:38206  chlorophyllide
CHEBI:49637 ! hydrogen atom,CHEBI:49637 ! hydrogen atom,,CHEBI:49637  hydrogen atom
CHEBI:36895 ! monoatomic fluorine,CHEBI:36895 ! monoatomic fluorine,,CHEBI:36895  monoatomic fluorine
ENVO:01000773 ! village,ENVO:01000773 ! village,ENVO:01000773,village
ENVO:03501168 ! pain management unit facility,ENVO:03501168 ! pain management unit facility,ENVO:03501168,pain management unit facility
ENVO:01000701 ! volcanic ash,ENVO:01000701 ! volcanic ash,ENVO:01000701,volcanic ash
FOODON:00003395 ! multi-component wheat food product,FOODON:00003395 ! multi-component wheat food product,,FOODON:00003395  multi-component wheat food product
ENVO:00000257 ! flood fringe,ENVO:00000257 ! flood fringe,ENVO:00000257,flood fringe
CHEBI:37190 ! silicon coordination entity,CHEBI:37190 ! silicon coordination entity,,CHEBI:37190  silicon coordination entity
UBERON:0005744 ! bone foramen,UBERON:0005744 ! bone foramen,,UBERON:0005744  bone foramen
UBERON:0001836 ! saliva,UBERON:0001836 ! saliva,,UBERON:0001836  saliva
ENVO:00001999 ! marine water body,ENVO:00001999 ! marine water body,ENVO:00001999,marine water body
FOODON:00001187 ! sorghum food product,FOODON:00001187 ! sorghum food product,,FOODON:00001187  sorghum food product
NCBITaxon:1126 ! Microcystis aeruginosa,NCBITaxon:1126 ! Microcystis aeruginosa,,NCBITaxon:1126  Microcystis aeruginosa
FOODON:00001120 ! camelid milk beverage,FOODON:00001120 ! camelid milk beverage,,FOODON:00001120  camelid milk beverage
ENVO:09200007 ! concentration of nitrate in soil,ENVO:09200007 ! concentration of nitrate in soil,ENVO:09200007,concentration of nitrate in soil
UBERON:0005090 ! muscle structure,UBERON:0005090 ! muscle structure,,UBERON:0005090  muscle structure
ENVO:00000199 ! meromictic lake,ENVO:00000199 ! meromictic lake,ENVO:00000199,meromictic lake
CHEBI:53310 ! copolymer macromolecule,CHEBI:53310 ! copolymer macromolecule,,CHEBI:53310  copolymer macromolecule
CHEBI:49990 ! monoatomic argon,CHEBI:49990 ! monoatomic argon,,CHEBI:49990  monoatomic argon
ENVO:03501219 ! window,ENVO:03501219 ! window,ENVO:03501219,window
ENVO:00005790 ! red soil,ENVO:00005790 ! red soil,ENVO:00005790,red soil
ENVO:00005739 ! sea foam,ENVO:00005739 ! sea foam,ENVO:00005739,sea foam
CHEBI:25501 ! neoxanthin,CHEBI:25501 ! neoxanthin,,CHEBI:25501  neoxanthin
ENVO:01001645 ! gaseous part of an atmosphere,ENVO:01001645 ! gaseous part of an atmosphere,ENVO:01001645,gaseous part of an atmosphere
"FOODON:00001221 ! sausage (raw, smoked)","FOODON:00001221 ! sausage (raw, smoked)",,"FOODON:00001221  sausage raw, smoked"
ENVO:01000179 ! desert biome,ENVO:01000179 ! desert biome,ENVO:01000179,desert biome
FOODON:00001048 ! meshanger cheese food product,FOODON:00001048 ! meshanger cheese food product,,FOODON:00001048  meshanger cheese food product
ENVO:00000071 ! fault cave,ENVO:00000071 ! fault cave,ENVO:00000071,fault cave
PATO:0000982 ! permeable,PATO:0000982 ! permeable,,PATO:0000982  permeable
ENVO:00000550 ! range of seamounts,ENVO:00000550 ! range of seamounts,ENVO:00000550,range of seamounts
UBERON:0000077 ! mixed endoderm/mesoderm-derived structure,UBERON:0000077 ! mixed endoderm/mesoderm-derived structure,,UBERON:0000077  mixed endoderm/mesoderm-derived structure
CHEBI:37622 ! carboxamide,CHEBI:37622 ! carboxamide,,CHEBI:37622  carboxamide
FOODON:03305536 ! honey blend table syrup,FOODON:03305536 ! honey blend table syrup,,FOODON:03305536  honey blend table syrup
FOODON:00001218 ! bee food product,FOODON:00001218 ! bee food product,,FOODON:00001218  bee food product
UBERON:0019204 ! skin epithelium,UBERON:0019204 ! skin epithelium,,UBERON:0019204  skin epithelium
FOODON:00001191 ! barley food product,FOODON:00001191 ! barley food product,,FOODON:00001191  barley food product
ENVO:00005795 ! marine mud,ENVO:00005795 ! marine mud,ENVO:00005795,marine mud
PATO:0002107 ! peripheral,PATO:0002107 ! peripheral,,PATO:0002107  peripheral
PATO:0000406 ! curved,PATO:0000406 ! curved,,PATO:0000406  curved
ENVO:01000663 ! pumice,ENVO:01000663 ! pumice,ENVO:01000663,pumice
ENVO:01001043 ! hypersaline water environment,ENVO:01001043 ! hypersaline water environment,ENVO:01001043,hypersaline water environment
ENVO:02000090 ! ash,ENVO:02000090 ! ash,ENVO:02000090,ash
ENVO:06105242 ! basic cation exchange capacity,ENVO:06105242 ! basic cation exchange capacity,ENVO:06105242,basic cation exchange capacity
ENVO:01000144 ! marine coral reef flat zone,ENVO:01000144 ! marine coral reef flat zone,ENVO:01000144,marine coral reef flat zone
ENVO:03510031 ! oil-based paint,ENVO:03510031 ! oil-based paint,ENVO:03510031,oil-based paint
PATO:0001566 ! distributed,PATO:0001566 ! distributed,,PATO:0001566  distributed
ENVO:01001791 ! mediterranean forest,ENVO:01001791 ! mediterranean forest,ENVO:01001791,mediterranean forest
CHEBI:26836 ! sulfuric acid,CHEBI:26836 ! sulfuric acid,,CHEBI:26836  sulfuric acid
UBERON:0002346 ! neurectoderm,UBERON:0002346 ! neurectoderm,,UBERON:0002346  neurectoderm
ENVO:01001304 ! oasis,ENVO:01001304 ! oasis,ENVO:01001304,oasis
CHEBI:33671 ! heteropolycyclic compound,CHEBI:33671 ! heteropolycyclic compound,,CHEBI:33671  heteropolycyclic compound
ENVO:00000067 ! cave,ENVO:00000067 ! cave,ENVO:00000067,cave
FOODON:00001247 ! mate food product,FOODON:00001247 ! mate food product,,FOODON:00001247  mate food product
ENVO:01000908 ! geothermally heated river,ENVO:01000908 ! geothermally heated river,ENVO:01000908,geothermally heated river
CHEBI:26398 ! purine ribonucleoside triphosphate,CHEBI:26398 ! purine ribonucleoside triphosphate,,CHEBI:26398  purine ribonucleoside triphosphate
PATO:0002359 ! broad,PATO:0002359 ! broad,,PATO:0002359  broad
ENVO:00000308 ! dune slack,ENVO:00000308 ! dune slack,ENVO:00000308,dune slack
UBERON:0012360 ! bone of jaw,UBERON:0012360 ! bone of jaw,,UBERON:0012360  bone of jaw
ENVO:03000141 ! snow layer,ENVO:03000141 ! snow layer,ENVO:03000141,snow layer
PATO:0001846 ! tangled,PATO:0001846 ! tangled,,PATO:0001846  tangled
ENVO:01000521 ! batholith,ENVO:01000521 ! batholith,ENVO:01000521,batholith
ENVO:09000002 ! solubility of carbon atom in soil,ENVO:09000002 ! solubility of carbon atom in soil,ENVO:09000002,solubility of carbon atom in soil
NCBITaxon:33154 ! Opisthokonta,NCBITaxon:33154 ! Opisthokonta,,NCBITaxon:33154  Opisthokonta
ENVO:00000529 ! beach ridge,ENVO:00000529 ! beach ridge,ENVO:00000529,beach ridge
CHEBI:25213 ! metal cation,CHEBI:25213 ! metal cation,,CHEBI:25213  metal cation
ENVO:00002173 ! hospital,ENVO:00002173 ! hospital,ENVO:00002173,hospital
ENVO:00000089 ! inland cliff,ENVO:00000089 ! inland cliff,ENVO:00000089,inland cliff
ENVO:00000293 ! continental divide,ENVO:00000293 ! continental divide,ENVO:00000293,continental divide
PATO:0000169 ! viability,PATO:0000169 ! viability,,PATO:0000169  viability
ENVO:03000053 ! intraglacial lake,ENVO:03000053 ! intraglacial lake,ENVO:03000053,intraglacial lake
ENVO:03000110 ! cryoform,ENVO:03000110 ! cryoform,ENVO:03000110,cryoform
ENVO:01000409 ! freshwater littoral zone,ENVO:01000409 ! freshwater littoral zone,ENVO:01000409,freshwater littoral zone
ENVO:2000018 ! mixed potential and kinetic energy,ENVO:2000018 ! mixed potential and kinetic energy,ENVO:2000018,mixed potential and kinetic energy
UBERON:0004226 ! gastrointestinal system smooth muscle,UBERON:0004226 ! gastrointestinal system smooth muscle,,UBERON:0004226  gastrointestinal system smooth muscle
ENVO:03400013 ! falling snow,ENVO:03400013 ! falling snow,ENVO:03400013,falling snow
ENVO:03000144 ! planetary cryosphere,ENVO:03000144 ! planetary cryosphere,ENVO:03000144,planetary cryosphere
ENVO:01001131 ! hot Jupiter,ENVO:01001131 ! hot Jupiter,ENVO:01001131,hot Jupiter
ENVO:00002206 ! coal mine waste material,ENVO:00002206 ! coal mine waste material,ENVO:00002206,coal mine waste material
CHEBI:50860 ! organic molecular entity,CHEBI:50860 ! organic molecular entity,,CHEBI:50860  organic molecular entity
ENVO:01001462 ! UNEP-WCMC class 2 mountain,ENVO:01001462 ! UNEP-WCMC class 2 mountain,ENVO:01001462,UNEP-WCMC class 2 mountain
PATO:0002140 ! inedible,PATO:0002140 ! inedible,,PATO:0002140  inedible
ENVO:01000413 ! old plant,ENVO:01000413 ! old plant,ENVO:01000413,old plant
FOODON:03400164 ! dairy product (us cfr),FOODON:03400164 ! dairy product (us cfr),,FOODON:03400164  dairy product us cfr
ENVO:00000130 ! rocky reef,ENVO:00000130 ! rocky reef,ENVO:00000130,rocky reef
ENVO:00000476 ! lake inlet,ENVO:00000476 ! lake inlet,ENVO:00000476,lake inlet
UBERON:0000924 ! ectoderm,UBERON:0000924 ! ectoderm,,UBERON:0000924  ectoderm
ENVO:01000439 ! andesitic volcano,ENVO:01000439 ! andesitic volcano,ENVO:01000439,andesitic volcano
ENVO:00000159 ! sugar plantation,ENVO:00000159 ! sugar plantation,ENVO:00000159,sugar plantation
PATO:0001161 ! diluted,PATO:0001161 ! diluted,,PATO:0001161  diluted
CHEBI:33709 ! amino acid,CHEBI:33709 ! amino acid,,CHEBI:33709  amino acid
CHEBI:36916 ! cation,CHEBI:36916 ! cation,,CHEBI:36916  cation
ENVO:03600036 ! pathogen-suppressive soil,ENVO:03600036 ! pathogen-suppressive soil,ENVO:03600036,pathogen-suppressive soil
ENVO:01001003 ! non-saline environment,ENVO:01001003 ! non-saline environment,ENVO:01001003,non-saline environment
UBERON:0011300 ! gray matter of telencephalon,UBERON:0011300 ! gray matter of telencephalon,,UBERON:0011300  gray matter of telencephalon
ENVO:01001653 ! well-mixed estuary,ENVO:01001653 ! well-mixed estuary,ENVO:01001653,well-mixed estuary
ENVO:01001523 ! frazil,ENVO:01001523 ! frazil,ENVO:01001523,frazil
ENVO:01000834 ! water raindrop,ENVO:01000834 ! water raindrop,ENVO:01000834,water raindrop
ENVO:00003081 ! metal contaminated soil,ENVO:00003081 ! metal contaminated soil,ENVO:00003081,metal contaminated soil
UBERON:0034925 ! anatomical collection,UBERON:0034925 ! anatomical collection,,UBERON:0034925  anatomical collection
ENVO:3200021 ! concentration of bromine in water ice,ENVO:3200021 ! concentration of bromine in water ice,ENVO:3200021,concentration of bromine in water ice
CHEBI:33662 ! annulene,CHEBI:33662 ! annulene,,CHEBI:33662  annulene
ENVO:03600005 ! electrical switch,ENVO:03600005 ! electrical switch,ENVO:03600005,electrical switch
UBERON:0003929 ! digestive tract epithelium,UBERON:0003929 ! digestive tract epithelium,,UBERON:0003929  digestive tract epithelium
ENVO:01001709 ! katafront,ENVO:01001709 ! katafront,ENVO:01001709,katafront
ENVO:01000615 ! motorcycle,ENVO:01000615 ! motorcycle,ENVO:01000615,motorcycle
CHEBI:46682 ! anthophyllite asbestos,CHEBI:46682 ! anthophyllite asbestos,,CHEBI:46682  anthophyllite asbestos
ENVO:01000581 ! mobile phone,ENVO:01000581 ! mobile phone,ENVO:01000581,mobile phone
PATO:0000918 ! volume,PATO:0000918 ! volume,,PATO:0000918  volume
ENVO:01000628 ! plant litter,ENVO:01000628 ! plant litter,ENVO:01000628,plant litter
ENVO:01001386 ! mussel reef,ENVO:01001386 ! mussel reef,ENVO:01001386,mussel reef
ENVO:01000041 ! neritic sea surface microlayer biome,ENVO:01000041 ! neritic sea surface microlayer biome,ENVO:01000041,neritic sea surface microlayer biome
UBERON:0009584 ! 1st arch mandibular mesenchyme,UBERON:0009584 ! 1st arch mandibular mesenchyme,,UBERON:0009584  1st arch mandibular mesenchyme
ENVO:01000367 ! anchialine cave,ENVO:01000367 ! anchialine cave,ENVO:01000367,anchialine cave
ENVO:01001113 ! forage material,ENVO:01001113 ! forage material,ENVO:01001113,forage material
ENVO:01000385 ! temperate deciduous broadleaf forest,ENVO:01000385 ! temperate deciduous broadleaf forest,ENVO:01000385,temperate deciduous broadleaf forest
ENVO:01001543 ! water ice surface layer,ENVO:01001543 ! water ice surface layer,ENVO:01001543,water ice surface layer
ENVO:00002870 ! adobe,ENVO:00002870 ! adobe,ENVO:00002870,adobe
ENVO:00000094 ! volcanic feature,ENVO:00000094 ! volcanic feature,ENVO:00000094,volcanic feature
NCBITaxon:2910 ! Peridiniales,NCBITaxon:2910 ! Peridiniales,,NCBITaxon:2910  Peridiniales
ENVO:01001321 ! brackish water body,ENVO:01001321 ! brackish water body,ENVO:01001321,brackish water body
ENVO:03000085 ! thermokarst,ENVO:03000085 ! thermokarst,ENVO:03000085,thermokarst
ENVO:01000661 ! tuff,ENVO:01000661 ! tuff,ENVO:01000661,tuff
ENVO:01000203 ! environmental condition,ENVO:01000203 ! environmental condition,ENVO:01000203,environmental condition
ENVO:01001276 ! water ice layer,ENVO:01001276 ! water ice layer,ENVO:01001276,water ice layer
UBERON:0004864 ! vasculature of retina,UBERON:0004864 ! vasculature of retina,,UBERON:0004864  vasculature of retina
UBERON:0005409 ! alimentary part of gastrointestinal system,UBERON:0005409 ! alimentary part of gastrointestinal system,,UBERON:0005409  alimentary part of gastrointestinal system
PATO:0000117 ! size,PATO:0000117 ! size,,PATO:0000117  size
