raw_id	accession	bp_id	contributors	model	owner_abbreviation	owner_text	owner_url	package	package_name	paragraph	prefixed_id	primary_id	samp_name	sra_id	status	status_date	synonym	table_caption	taxonomy_id	taxonomy_name	title
13478167	SAMEA104726436			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726436	SAMEA104726436		ERS2327819		2019-12-07T11:11:52.740			410658	soil metagenome	Crete soil metagenome
13478168	SAMEA104726437			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726437	SAMEA104726437		ERS2327820		2019-12-07T11:11:52.770			410658	soil metagenome	Crete soil metagenome
13478169	SAMEA104726438			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726438	SAMEA104726438		ERS2327821		2019-12-07T11:11:52.800			410658	soil metagenome	Crete soil metagenome
13478170	SAMEA104726439			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726439	SAMEA104726439		ERS2327822		2019-12-07T11:11:52.833			410658	soil metagenome	Crete soil metagenome
13478171	SAMEA104726440			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726440	SAMEA104726440		ERS2327823		2019-12-07T11:11:52.863			410658	soil metagenome	Crete soil metagenome
13478172	SAMEA104726441			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726441	SAMEA104726441		ERS2327824		2019-12-07T11:11:52.897			410658	soil metagenome	Crete soil metagenome
13478173	SAMEA104726442			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726442	SAMEA104726442		ERS2327825		2019-12-07T11:11:52.927			410658	soil metagenome	Crete soil metagenome
13478174	SAMEA104726443			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726443	SAMEA104726443		ERS2327826		2019-12-07T11:11:52.957			410658	soil metagenome	Crete soil metagenome
13478175	SAMEA104726444			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726444	SAMEA104726444		ERS2327827		2019-12-07T11:11:52.990			410658	soil metagenome	Crete soil metagenome
13478176	SAMEA104726445			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726445	SAMEA104726445		ERS2327828		2019-12-07T11:11:53.037			410658	soil metagenome	Crete soil metagenome
13478177	SAMEA104726446			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726446	SAMEA104726446		ERS2327829		2019-12-07T11:11:53.067			410658	soil metagenome	Crete soil metagenome
13478178	SAMEA104726447			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726447	SAMEA104726447		ERS2327830		2019-12-07T11:11:53.100			410658	soil metagenome	Crete soil metagenome
13478179	SAMEA104726448			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726448	SAMEA104726448		ERS2327831		2019-12-07T11:11:53.130			410658	soil metagenome	Crete soil metagenome
13478180	SAMEA104726449			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726449	SAMEA104726449		ERS2327832		2019-12-07T11:11:53.160			410658	soil metagenome	Crete soil metagenome
13478181	SAMEA104726450			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726450	SAMEA104726450		ERS2327833		2019-12-07T11:11:53.193			410658	soil metagenome	Crete soil metagenome
13478182	SAMEA104726451			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726451	SAMEA104726451		ERS2327834		2019-12-07T11:11:53.223			410658	soil metagenome	Crete soil metagenome
13478183	SAMEA104726452			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726452	SAMEA104726452		ERS2327835		2019-12-07T11:11:53.270			410658	soil metagenome	Crete soil metagenome
13478184	SAMEA104726453			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726453	SAMEA104726453		ERS2327836		2019-12-07T11:11:53.300			410658	soil metagenome	Crete soil metagenome
13478185	SAMEA104726454			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726454	SAMEA104726454		ERS2327837		2019-12-07T11:11:53.333			410658	soil metagenome	Crete soil metagenome
13478186	SAMEA104726455			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726455	SAMEA104726455		ERS2327838		2019-12-07T11:11:53.380			410658	soil metagenome	Crete soil metagenome
13478187	SAMEA104726456			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726456	SAMEA104726456		ERS2327839		2019-12-07T11:11:53.427			410658	soil metagenome	Crete soil metagenome
13478188	SAMEA104726457			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726457	SAMEA104726457		ERS2327840		2019-12-07T11:11:53.460			410658	soil metagenome	Crete soil metagenome
13478189	SAMEA104726458			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726458	SAMEA104726458		ERS2327841		2019-12-07T11:11:53.490			410658	soil metagenome	Crete soil metagenome
13478190	SAMEA104726459			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726459	SAMEA104726459		ERS2327842		2019-12-07T11:11:53.537			410658	soil metagenome	Crete soil metagenome
13478191	SAMEA104726460			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726460	SAMEA104726460		ERS2327843		2019-12-07T11:11:53.567			410658	soil metagenome	Crete soil metagenome
13478192	SAMEA104726461			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726461	SAMEA104726461		ERS2327844		2019-12-07T11:11:53.600			410658	soil metagenome	Crete soil metagenome
13478193	SAMEA104726462			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726462	SAMEA104726462		ERS2327845		2019-12-08T08:12:46.233			410658	soil metagenome	Crete soil metagenome
13478194	SAMEA104726463			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726463	SAMEA104726463		ERS2327846		2019-12-07T11:11:53.630			410658	soil metagenome	Crete soil metagenome
13478195	SAMEA104726464			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726464	SAMEA104726464		ERS2327847		2019-12-07T11:11:53.660			410658	soil metagenome	Crete soil metagenome
13478196	SAMEA104726465			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726465	SAMEA104726465		ERS2327848		2019-12-07T11:11:53.693			410658	soil metagenome	Crete soil metagenome
13478197	SAMEA104726466			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726466	SAMEA104726466		ERS2327849		2019-12-07T11:11:53.723			410658	soil metagenome	Crete soil metagenome
13478198	SAMEA104726467			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726467	SAMEA104726467		ERS2327850		2019-12-07T11:11:53.753			410658	soil metagenome	Crete soil metagenome
13478199	SAMEA104726468			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726468	SAMEA104726468		ERS2327851		2019-12-07T11:11:53.787			410658	soil metagenome	Crete soil metagenome
13478200	SAMEA104726469			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726469	SAMEA104726469		ERS2327852		2019-12-07T11:11:53.817			410658	soil metagenome	Crete soil metagenome
13478201	SAMEA104726470			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726470	SAMEA104726470		ERS2327853		2019-12-07T11:11:53.863			410658	soil metagenome	Crete soil metagenome
13478202	SAMEA104726471			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726471	SAMEA104726471		ERS2327854		2019-12-07T11:11:53.897			410658	soil metagenome	Crete soil metagenome
13478203	SAMEA104726472			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726472	SAMEA104726472		ERS2327855		2019-12-07T11:11:53.927			410658	soil metagenome	Crete soil metagenome
13478204	SAMEA104726473			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726473	SAMEA104726473		ERS2327856		2019-12-07T11:11:53.973			410658	soil metagenome	Crete soil metagenome
13478205	SAMEA104726474			Generic		EBI		Generic.1.0	Generic	metagenome from Crete soil	BIOSAMPLE:SAMEA104726474	SAMEA104726474		ERS2327857		2019-12-07T11:11:54.003			410658	soil metagenome	Crete soil metagenome
